fav_grp,popl_by_co_yn,reason,yr_listened,gender_pref,daily_MV_hr,daily_music_hr,watch_MV_yn,obsessed_yn,news_medium,pursuit,time_cons_yn,life_chg,pos_eff,yr_merch_spent,money_src,concert_yn,crazy_ev,age,country,job,gender,num_gr_like,bts_vs_others
bts,3,3,3.5,3,1,5,1,3,1,3,1,1,1,150,2,1,0,18,1,2,0,1,1
"bts,got7",1,3,4,3,2.5,3,1,3,2,1,2,1,0,50,1,3,0,24,7,1,0,2,1
"exo,monsta x,shinee,tvxq,btob",1,3,7,3,2.5,10,1,3,1,3,1,4,0,500,3,1,2,18,1,2,0,5,0
bts,3,3,4,3,2.5,3,1,3,1,3,2,1,1,50,4,3,1,24,1,2,0,1,1
bts,1,3,1,3,2.5,3,1,3,3,3,2,3,1,150,1,3,0,24,1,1,0,1,1
bts,1,3,4,3,1,3,1,3,1,3,2,3,2,75,2,3,0,18,1,2,0,1,1
monsta x,3,3,3.5,3,1,5,1,3,1,3,1,4,2,50,2,3,2,18,8,2,0,1,0
exo,3,3,3.5,3,1,3,1,3,1,3,2,0,2,50,4,2,0,12,1,2,0,1,0
exo,3,3,4,3,1,5,1,3,3,3,2,1,1,50,1,1,0,24,1,2,0,1,0
"bts,exo,blackpink,monsta x,i'm open to enjoying a wide variety of kpop artists because of their individuality",3,3,1,3,3.5,3,1,3,1,3,2,4,1,0,3,3,0,18,8,2,0,5,1
bts,1,3,1.5,3,2.5,3,1,3,1,3,2,3,2,50,3,2,0,12,1,2,0,1,1
"treasure 13,stray kids,nct",3,3,3.5,3,1,3,1,3,2,1,1,1,2,150,3,3,1,18,6,2,0,3,0
bts,1,3,1.5,3,1,3,1,3,1,3,2,3,1,75,3,1,0,18,1,2,0,1,1
